,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
6160,6160,24078,24084,1004,822,131,77,1,2,2,2,18.0,53,+2.545,5247726,50,1,1:35.861,219.617,1,5247726
6161,6161,24079,24085,1004,20,6,5,3,3,3,3,15.0,53,+7.487,5252668,50,3,1:35.990,219.322,1,5252668
6162,6162,24080,24086,1004,8,6,7,4,4,4,4,12.0,53,+16.543,5261724,47,6,1:36.611,217.913,1,5261724
6163,6163,24081,24087,1004,830,9,33,19,5,5,5,10.0,53,+31.016,5276197,45,4,1:36.283,218.655,1,5276197
6164,6164,24082,24088,1004,817,9,3,18,6,6,6,8.0,53,+1:20.451,5325632,41,5,1:36.345,218.514,1,5325632
6165,6165,24083,24089,1004,844,15,16,7,7,7,7,6.0,53,+1:38.390,5343571,52,9,1:38.107,214.590,1,5343571
6166,6166,24097,24103,1005,1,131,44,1,1,1,1,25.0,53,1:27:17.062,5237062,51,2,1:32.785,225.307,1,5237062
6167,6167,24098,24104,1005,822,131,77,2,2,2,2,18.0,53,+12.919,5249981,46,3,1:33.110,224.521,1,5249981
6168,6168,24099,24105,1005,830,9,33,3,3,3,3,15.0,53,+14.295,5251357,50,6,1:33.367,223.903,1,5251357
6169,6169,24100,24106,1005,817,9,3,15,4,4,4,12.0,53,+19.495,5256557,50,4,1:33.187,224.336,1,5256557
6170,6170,24101,24107,1005,8,6,7,4,5,5,5,10.0,53,+50.998,5288060,28,12,1:34.223,221.869,1,5288060
6171,6171,24102,24108,1005,20,6,5,8,6,6,6,8.0,53,+1:09.873,5306935,53,1,1:32.318,226.447,1,5306935
6172,6172,24103,24109,1005,815,10,11,9,7,7,7,6.0,53,+1:19.379,5316441,43,9,1:34.073,222.223,1,5316441
6173,6173,24104,24110,1005,154,210,8,5,8,8,8,4.0,53,+1:27.198,5324260,47,15,1:34.786,220.551,1,5324260
6174,6174,24105,24111,1005,839,10,31,11,9,9,9,2.0,53,+1:28.055,5325117,50,14,1:34.670,220.821,1,5325117
6175,6175,24117,24123,1006,8,6,7,2,1,1,1,25.0,56,1:34:18.643,5658643,45,5,1:38.482,201.527,1,5658643
6176,6176,24118,24124,1006,830,9,33,18,2,2,2,18.0,56,+1.281,5659924,45,2,1:38.246,202.011,1,5659924
6177,6177,24119,24125,1006,1,131,44,1,3,3,3,15.0,56,+2.342,5660985,40,1,1:37.392,203.782,1,5660985
6178,6178,24120,24126,1006,20,6,5,5,4,4,4,12.0,56,+18.222,5676865,41,3,1:38.280,201.941,1,5676865
6179,6179,24121,24127,1006,822,131,77,3,5,5,5,10.0,56,+24.744,5683387,46,4,1:38.470,201.551,1,5683387
6180,6180,24122,24128,1006,807,4,27,7,6,6,6,8.0,56,+1:27.210,5745853,51,8,1:39.548,199.369,1,5745853
6181,6181,24123,24129,1006,832,4,55,11,7,7,7,6.0,56,+1:34.994,5753637,45,11,1:39.858,198.750,1,5753637
6182,6182,24124,24130,1006,815,10,11,10,8,8,8,4.0,56,+1:41.080,5759723,45,13,1:39.992,198.483,1,5759723
6183,6183,24137,24143,1007,830,9,33,2,1,1,1,25.0,71,1:38:28.851,5908851,66,2,1:19.186,195.670,1,5908851
6184,6184,24138,24144,1007,20,6,5,4,2,2,2,18.0,71,+17.316,5926167,49,4,1:19.522,194.844,1,5926167
6185,6185,24139,24145,1007,8,6,7,6,3,3,3,15.0,71,+49.914,5958765,19,5,1:20.334,192.874,1,5958765
6186,6186,24140,24146,1007,1,131,44,3,4,4,4,12.0,71,+1:18.738,5987589,49,8,1:20.728,191.933,1,5987589
6187,6187,24157,24163,1008,1,131,44,1,1,1,1,25.0,71,1:27:09.066,5229066,70,7,1:11.795,216.065,1,5229066
6188,6188,24158,24164,1008,830,9,33,5,2,2,2,18.0,71,+1.469,5230535,61,4,1:11.578,216.720,1,5230535
6189,6189,24159,24165,1008,8,6,7,4,3,3,3,15.0,71,+4.764,5233830,64,6,1:11.769,216.143,1,5233830
6190,6190,24160,24166,1008,817,9,3,11,4,4,4,12.0,71,+5.193,5234259,62,3,1:11.343,217.434,1,5234259
6191,6191,24161,24167,1008,822,131,77,3,5,5,5,10.0,71,+22.943,5252009,65,1,1:10.540,219.909,1,5252009
6192,6192,24162,24168,1008,20,6,5,2,6,6,6,8.0,71,+26.997,5256063,71,2,1:10.831,219.005,1,5256063
6193,6193,24163,24169,1008,844,15,16,7,7,7,7,6.0,71,+44.199,5273265,70,8,1:12.082,215.204,1,5273265
6194,6194,24164,24170,1008,154,210,8,8,8,8,8,4.0,71,+51.230,5280296,71,12,1:12.362,214.372,1,5280296
6195,6195,24165,24171,1008,825,210,20,10,9,9,9,2.0,71,+52.857,5281923,67,10,1:12.206,214.835,1,5281923
6196,6196,24177,24183,1009,1,131,44,1,1,1,1,25.0,55,1:39:40.382,5980382,53,5,1:41.357,197.267,1,5980382
6197,6197,24178,24184,1009,20,6,5,3,2,2,2,18.0,55,+2.581,5982963,54,1,1:40.867,198.225,1,5982963
6198,6198,24179,24185,1009,830,9,33,6,3,3,3,15.0,55,+12.706,5993088,51,6,1:41.909,196.198,1,5993088
6199,6199,24180,24186,1009,817,9,3,5,4,4,4,12.0,55,+15.379,5995761,35,3,1:41.249,197.477,1,5995761
6200,6200,24181,24187,1009,822,131,77,2,5,5,5,10.0,55,+47.957,6028339,42,2,1:40.953,198.056,1,6028339
6201,6201,24182,24188,1009,832,4,55,11,6,6,6,8.0,55,+1:12.548,6052930,54,4,1:41.351,197.278,1,6052930
6202,6202,24183,24189,1009,844,15,16,8,7,7,7,6.0,55,+1:30.789,6071171,54,10,1:42.876,194.354,1,6071171
6203,6203,24184,24190,1009,815,10,11,14,8,8,8,4.0,55,+1:31.275,6071657,53,8,1:42.816,194.467,1,6071657
6204,6204,24197,24203,1010,822,131,77,2,1,1,1,26.0,58,1:25:27.325,5127325,57,1,1:25.580,223.075,1,5127325
6205,6205,24198,24204,1010,1,131,44,1,2,2,2,18.0,58,+20.886,5148211,57,2,1:26.057,221.839,1,5148211
6206,6206,24199,24205,1010,830,9,33,4,3,3,3,15.0,58,+22.520,5149845,57,3,1:26.256,221.327,1,5149845
6207,6207,24200,24206,1010,20,6,5,3,4,4,4,12.0,58,+57.109,5184434,16,8,1:27.954,217.054,1,5184434
6208,6208,24201,24207,1010,844,6,16,5,5,5,5,10.0,58,+58.203,5185528,58,4,1:26.926,219.621,1,5185528
6209,6209,24202,24208,1010,825,210,20,7,6,6,6,8.0,58,+1:27.156,5214481,56,9,1:28.182,216.493,1,5214481
6210,6210,24217,24223,1011,1,131,44,3,1,1,1,25.0,57,1:34:21.295,5661295,36,2,1:33.528,208.314,1,5661295
6211,6211,24218,24224,1011,822,131,77,4,2,2,2,18.0,57,+2.980,5664275,42,3,1:34.209,206.808,1,5664275
6212,6212,24219,24225,1011,844,6,16,1,3,3,3,16.0,57,+6.131,5667426,38,1,1:33.411,208.575,1,5667426
6213,6213,24220,24226,1011,830,9,33,5,4,4,4,12.0,57,+6.408,5667703,47,9,1:35.311,204.417,1,5667703
